time_span,review_count,average_rating,category
Span Before,3544,4.076749435665914,AMAZON_FASHION
Span After,3761,4.080563679872374,AMAZON_FASHION
Span Before,4143,4.254405020516534,All_Beauty
Span After,4501,4.233948011552989,All_Beauty
Span Before,6322,4.238057576716229,Appliances
Span After,5746,4.204142011834319,Appliances
Span Before,29252,4.335669355941474,Arts_Crafts_and_Sewing
Span After,27469,4.324984528013397,Arts_Crafts_and_Sewing
Span Before,71152,4.258095345176524,Automotive
Span After,81068,4.230732224798934,Automotive
Span Before,1010564,4.385591610229535,Books
Span After,970364,4.37401428742204,Books
Span Before,77447,4.561609875140419,CDs_and_Vinyl
Span After,71674,4.543809470658816,CDs_and_Vinyl
Span Before,121384,3.9018322019376526,Cell_Phones_and_Accessories
Span After,126580,3.8762205719702956,Cell_Phones_and_Accessories
Span After,288603,4.215812032445955,Clothing_Shoes_and_Jewelry
Span Before,273322,4.251995814460599,Clothing_Shoes_and_Jewelry
Span Before,46962,4.675013840977812,Digital_Music
Span After,41658,4.684526381487349,Digital_Music
Span Before,313072,4.13178438186743,Electronics
Span After,286720,4.096358816964286,Electronics
Span Before,2314,4.764044943820225,Gift_Cards
Span After,2381,4.710205795884082,Gift_Cards
Span Before,59425,4.328498106857383,Grocery_and_Gourmet_Food
Span After,59687,4.340693953457202,Grocery_and_Gourmet_Food
Span After,213827,4.174683271990909,Home_and_Kitchen
Span Before,225865,4.195878068757886,Home_and_Kitchen
Span Before,15116,4.265943371262239,Industrial_and_Scientific
Span After,14821,4.238850280008097,Industrial_and_Scientific
Span Before,123871,4.208313487418363,Kindle_Store
Span After,121343,4.223201997643045,Kindle_Store
Span After,7414,4.258295117345562,Luxury_Beauty
Span Before,7185,4.2605427974947805,Luxury_Beauty
Span Before,1608,4.199004975124378,Magazine_Subscriptions
Span After,1458,4.194787379972565,Magazine_Subscriptions
Span Before,156164,4.298833277836121,Movies_and_TV
Span After,143635,4.303296550283705,Movies_and_TV
Span Before,22738,4.308778256662855,Musical_Instruments
Span After,20619,4.281439449051845,Musical_Instruments
Span Before,61481,4.122314210894423,Office_Products
Span After,57634,4.089270222438144,Office_Products
Span After,65704,4.03899305978327,Patio_Lawn_and_Garden
Span Before,37505,4.136435141981069,Patio_Lawn_and_Garden
Span Before,67424,4.20124881347888,Pet_Supplies
Span After,70851,4.187054522871943,Pet_Supplies
Span Before,2283,4.376697328077092,Prime_Pantry
Span After,2041,4.359137677609016,Prime_Pantry
Span Before,9131,3.640127039754682,Software
Span After,7166,3.62140664247837,Software
Span After,149805,4.238336504122025,Sports_and_Outdoors
Span Before,142025,4.261658158774863,Sports_and_Outdoors
Span Before,91215,4.248895466754371,Tools_and_Home_Improvement
Span After,90591,4.215760947555497,Tools_and_Home_Improvement
Span Before,83396,4.292328169216749,Toys_and_Games
Span After,76475,4.272716574043805,Toys_and_Games
Span Before,44861,3.9445843828715366,Video_Games
Span After,34162,4.080352438381828,Video_Games
